"","occurrences","deaths","injured","affected","homeless","total.affected","total.damage","country.names","location.lon","location.lat"
"30",50,1145,348,4506516,80295,4587159,13000,"Burundi",29.918886,-3.373056
"31",35,2473,167,20087694,333755,20421616,1557110,"Cambodia",104.990963,12.565679
"32",49,6003,2863,977173,49569,1029605,3200,"Cameroon",12.354722,7.369722
"33",130,51871,952,2425087,38266,2464305,27840600,"Canada",-106.346771,56.130366
"34",7,81,143,1000,105,1248,869923,"Canary Is",NA,NA
"35",38,947,251,122068,101274,223593,125,"Central African Republic",20.939444,6.611111
"36",56,10299,307,9277025,99088,9376420,94157,"Chad",18.732207,15.454166
"37",112,61425,77467,10689595,1698874,12465936,40526970,"Chile",-71.542969,-35.675147
"38",854,12723531,1684216,NA,63892880,NA,489476131,"China",104.195397,35.86166
"39",170,33790,24183,17189787,842063,18056033,7058469,"Colombia",-74.297333,4.570868
"40",23,670,202,463560,55500,519262,47804,"Comoros ",43.3333,-11.6455
"41",116,10667,5471,2075135,250156,2330762,31200,"Congo ",21.758664,-4.038333
"42",27,871,192,120669,69668,190529,59,"Congo ",21.758664,-4.038333
"43",14,32,216,8808,0,9024,25000,"Cook Islands ",-159.777671,-21.236736
"44",65,2233,8922,1791681,58916,1859519,1175090,"Costa Rica",-83.753428,9.748917
"45",24,858,226,14976,2000,17202,687750,"Croatia",15.2,45.1
"46",25,876,56,24254,10000,34310,0,"Côte d’Ivoire",NA,NA
"47",78,5157,1141,13447804,495170,13944115,11641697,"Cuba",-77.781167,21.521757
"48",14,106,745,4990,150,5885,14440,"Cyprus",33.429859,35.126413
"49",24,587,2424,1607950,11973,1622347,5964112,"Czech Republic ",15.472962,49.817492
"50",9,24,0,600,0,600,16000,"Czechoslovakia",121.0390178,14.4803708
"51",16,26,0,0,0,0,5196639,"Denmark",9.501785,56.26392
"52",22,323,300,1848330,33500,1882130,5719,"Djibouti",42.590275,11.825138
"53",14,2076,2151,116854,5985,124990,767060,"Dominica",-61.370976,15.414999
"54",72,5792,11316,4216994,495042,4723352,2931635,"Dominican Republic ",-70.162651,18.735693
"55",100,15179,231125,5545448,352305,6128878,3769245,"Ecuador",-78.183406,-1.831239
"56",34,12070,10607,287213,78845,376665,1467000,"Egypt",30.802498,26.820553
"57",62,7700,47304,3951960,320300,4319564,6712810,"El Salvador",-88.89653,13.794185
"58",1,15,0,946,0,946,0,"Equatorial Guinea",10.267895,1.650801
"59",7,3,29,5607000,15659,5622688,5165,"Eritrea",39.782334,15.179384
"60",3,4,0,100,0,100,130000,"Estonia",25.013607,58.595272
"61",113,416329,347,79817645,203214,80021206,118890,"Ethiopia",40.489673,9.145
"62",53,629,1367,1763314,46772,1811453,1153733,"Fiji",178.065032,-17.713371
"63",3,0,0,400,0,400,10000,"Finland",25.748151,61.92411
"64",152,25441,846,4128697,1066,4130609,42045700,"France",2.213749,46.227638
"65",2,10,5,0,70000,70005,0,"French Guiana",-53.125782,3.933889
"66",7,31,72,8900,0,8972,48000,"French Polynesia",-149.406843,-17.679742
"67",13,117,0,110083,800,110883,0,"Gabon",11.609444,-0.803689
"68",31,416,131,1426753,10400,1437284,700,"Gambia ",-15.310139,13.443182
"69",22,76,322,878910,8726,887958,700856,"Georgia",-82.9000751,32.1656221
"70",71,9703,767,575259,0,576026,54402130,"Germany",10.451526,51.165691
"71",46,1739,30564,16221397,243000,16494961,120300,"Ghana",-1.023194,7.946527
"72",85,2451,4512,1044930,14458,1063900,13076659,"Greece",21.824312,39.074208
"73",7,45,0,61210,0,61210,904500,"Grenada",-61.679,12.1165
"74",16,2049,249,128500,11490,140239,575000,"Guadeloupe",-61.551,16.265
"75",10,18,633,11744,15602,27979,1121145,"Guam",144.793731,13.444304
"76",101,84428,93992,11584439,1237276,12915707,4426463,"Guatemala",-90.230759,15.783471
"77",33,3956,5297,458633,4777,468707,0,"Guinea",-9.696645,9.945587
"78",24,3041,3,297094,5750,302847,0,"Guinea-Bissau",-15.180413,11.803749
"79",10,34,0,1264974,10000,1274974,678000,"Guyana",-58.93018,4.860416
"80",115,249883,590691,16822937,1062118,18475746,9309865,"Haiti",-72.285215,18.971187
"81",81,28508,12217,5897568,69002,5978787,5183879,"Honduras",-86.241905,15.199999
"82",134,24575,3937,100244,42361,146542,580443,"Hong Kong",114.109497,22.396428
"83",30,1032,800,250120,2263,253183,1960400,"Hungary",19.503304,47.162494
"84",13,51,27,5672,69,5768,70989,"Iceland",-19.020835,64.963051
"85",678,9129296,246987,NA,34573027,NA,86171506,"India",78.96288,20.593684
"86",469,241694,431732,27583644,1813568,29828944,29520738,"Indonesia",113.921327,-0.789275
"87",208,156332,173710,43988095,482085,44643890,23492696,"Iran ",53.688046,32.427908
"88",22,163,2238,991714,63100,1057052,61300,"Iraq",43.679291,33.223191
